Waf: Entering directory `/home/harry/My_data/Study/7th_sem/BTP/ndnSIM/ns-3/build'
[2729/3110] Compiling src/ndnSIM/examples/ndn-topo-custom.cpp
[3069/3110] Linking build/src/ndnSIM/examples/ns3-dev-ndn-topo-custom-debug
Waf: Leaving directory `/home/harry/My_data/Study/7th_sem/BTP/ndnSIM/ns-3/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (7.666s)
Node1 57 61
Node10 80 119
Node100 9 105
Node101 10 104
Node1000 1147 62
Node1001 1145 63
Node1010 1144 63
Node1011 1142 62
Node10000 0 408
Node10001 0 408
Node10001_ 0 408
Node10010 0 408
Node10011 0 408
Node10011_ 0 407
Node10100 0 407
Node10101 0 407
Node10101_ 0 407
Node10110 0 407
Node10111 0 406
Node10111_ 0 406
Node3 57 63
Node30 79 126
Node300 7 105
Node301 10 110
Node3000 1135 60
Node3001 1131 63
Node3010 1128 64
Node3011 1123 67
Node30000 0 404
Node30001 0 403
Node30001_ 0 403
Node30010 0 403
Node30011 0 403
Node30011_ 0 403
Node30100 0 403
Node30101 0 402
Node30101_ 0 402
Node30110 0 402
Node30111 0 402
Node30111_ 0 401
Node2 60 60
Node20 87 120
Node200 5 109
Node201 7 110
Node2000 1139 64
Node2001 1140 61
Node2010 1134 65
Node2011 1135 63
Node20000 0 406
Node20001 0 406
Node20001_ 0 406
Node20010 0 406
Node20011 0 405
Node20011_ 0 405
Node20100 0 405
Node20101 0 405
Node20101_ 0 404
Node20110 0 404
Node20111 0 404
Node20111_ 0 404
Node4 55 61
Node40 81 117
Node400 8 102
Node401 7 106
Node4000 1129 60
Node4001 1125 61
Node4010 1124 61
Node4011 1120 63
Node40000 0 401
Node40001 0 401
Node40001_ 0 401
Node40010 0 401
Node40011 0 400
Node40011_ 0 400
Node40100 0 400
Node40101 0 400
Node40101_ 0 400
Node40110 0 399
Node40111 0 399
Node40111_ 0 399
Producer1 0 216
