Waf: Entering directory `/home/harry/My_data/Study/7th_sem/BTP/ndnSIM/ns-3/build'
[2729/3110] Compiling src/ndnSIM/examples/ndn-topo-custom.cpp
[3069/3110] Linking build/src/ndnSIM/examples/ns3-dev-ndn-topo-custom-debug
Waf: Leaving directory `/home/harry/My_data/Study/7th_sem/BTP/ndnSIM/ns-3/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (7.442s)
Node1 0 1774
Node10 0 1776
Node100 0 904
Node101 0 881
Node1000 737 472
Node1001 764 444
Node1010 764 443
Node1011 755 449
Node10000 0 408
Node10001 0 408
Node10001_ 0 408
Node10010 0 408
Node10011 0 408
Node10011_ 0 407
Node10100 0 407
Node10101 0 407
Node10101_ 0 407
Node10110 0 407
Node10111 0 406
Node10111_ 0 406
Node3 0 1737
Node30 0 1743
Node300 0 884
Node301 0 871
Node3000 759 436
Node3001 733 461
Node3010 754 438
Node3011 746 444
Node30000 0 404
Node30001 0 403
Node30001_ 0 403
Node30010 0 403
Node30011 0 403
Node30011_ 0 403
Node30100 0 403
Node30101 0 402
Node30101_ 0 402
Node30110 0 402
Node30111 0 402
Node30111_ 0 401
Node2 0 1659
Node20 0 1662
Node200 0 830
Node201 0 841
Node2000 790 413
Node2001 773 428
Node2010 796 403
Node2011 749 449
Node20000 0 406
Node20001 0 406
Node20001_ 0 406
Node20010 0 406
Node20011 0 405
Node20011_ 0 405
Node20100 0 405
Node20101 0 405
Node20101_ 0 404
Node20110 0 404
Node20111 0 404
Node20111_ 0 404
Node4 0 1693
Node40 0 1696
Node400 0 862
Node401 0 844
Node4000 732 457
Node4001 769 417
Node4010 757 428
Node4011 755 428
Node40000 0 401
Node40001 0 401
Node40001_ 0 401
Node40010 0 401
Node40011 0 400
Node40011_ 0 400
Node40100 0 400
Node40101 0 400
Node40101_ 0 400
Node40110 0 399
Node40111 0 399
Node40111_ 0 399
Producer1 0 6827
