Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.109533	Node10001	0	2	LastDelay	0.0995328	99532.8	1	5
0.109533	Node10001	0	2	FullDelay	0.0995328	99532.8	1	5
0.119533	Node10001_	0	3	LastDelay	0.0995328	99532.8	1	5
0.119533	Node10001_	0	3	FullDelay	0.0995328	99532.8	1	5
0.129533	Node10010	0	1	LastDelay	0.0995328	99532.8	1	5
0.129533	Node10010	0	1	FullDelay	0.0995328	99532.8	1	5
0.129533	Node10100	0	1	LastDelay	0.0695328	69532.8	1	5
0.129533	Node10100	0	1	FullDelay	0.0695328	69532.8	1	5
0.129533	Node10101	0	1	LastDelay	0.0595328	59532.8	1	5
0.129533	Node10101	0	1	FullDelay	0.0595328	59532.8	1	5
0.139533	Node10011	0	10	LastDelay	0.0995328	99532.8	1	5
0.139533	Node10011	0	10	FullDelay	0.0995328	99532.8	1	5
0.149533	Node10011_	0	8	LastDelay	0.0995328	99532.8	1	5
0.149533	Node10011_	0	8	FullDelay	0.0995328	99532.8	1	5
0.179533	Node10101_	0	5	LastDelay	0.0995328	99532.8	1	5
0.179533	Node10101_	0	5	FullDelay	0.0995328	99532.8	1	5
0.183105	Node10001	0	2	LastDelay	0.0731048	73104.8	1	4
0.183105	Node10001	0	2	FullDelay	0.0731048	73104.8	1	4
0.183105	Node10111	0	2	LastDelay	0.0831048	83104.8	1	4
0.183105	Node10111	0	2	FullDelay	0.0831048	83104.8	1	4
0.189533	Node10110	0	6	LastDelay	0.0995328	99532.8	1	5
0.189533	Node10110	0	6	FullDelay	0.0995328	99532.8	1	5
0.199533	Node10000	0	4	LastDelay	0.0995328	99532.8	1	5
0.199533	Node10000	0	4	FullDelay	0.0995328	99532.8	1	5
0.199533	Node10111_	0	4	LastDelay	0.0895328	89532.8	1	5
0.199533	Node10111_	0	4	FullDelay	0.0895328	89532.8	1	5
0.20265	Node10011	0	1	LastDelay	0.0626496	62649.6	1	3
0.20265	Node10011	0	1	FullDelay	0.0626496	62649.6	1	3
0.213091	Node10010	0	3	LastDelay	0.0830912	83091.2	1	4
0.213091	Node10010	0	3	FullDelay	0.0830912	83091.2	1	4
0.219533	Node20000	0	2	LastDelay	0.0995328	99532.8	1	5
0.219533	Node20000	0	2	FullDelay	0.0995328	99532.8	1	5
0.219533	Node10001_	0	7	LastDelay	0.0995328	99532.8	1	5
0.219533	Node10001_	0	7	FullDelay	0.0995328	99532.8	1	5
0.22265	Node10100	0	1	LastDelay	0.0626496	62649.6	1	3
0.22265	Node10100	0	1	FullDelay	0.0626496	62649.6	1	3
0.22265	Node10101_	0	1	LastDelay	0.0426496	42649.6	1	3
0.22265	Node10101_	0	1	FullDelay	0.0426496	42649.6	1	3
0.229533	Node20001	0	5	LastDelay	0.0995328	99532.8	1	5
0.229533	Node20001	0	5	FullDelay	0.0995328	99532.8	1	5
0.229533	Node20001_	0	5	LastDelay	0.0895328	89532.8	1	5
0.229533	Node20001_	0	5	FullDelay	0.0895328	89532.8	1	5
0.229533	Node20011	0	5	LastDelay	0.0695328	69532.8	1	5
0.229533	Node20011	0	5	FullDelay	0.0695328	69532.8	1	5
0.23265	Node10101	0	3	LastDelay	0.0626496	62649.6	1	3
0.23265	Node10101	0	3	FullDelay	0.0626496	62649.6	1	3
0.241766	Node10111	0	3	LastDelay	0.0417664	41766.4	1	2
0.241766	Node10111	0	3	FullDelay	0.0417664	41766.4	1	2
0.249533	Node20010	0	1	LastDelay	0.0995328	99532.8	1	5
0.249533	Node20010	0	1	FullDelay	0.0995328	99532.8	1	5
0.249533	Node10011_	0	9	LastDelay	0.0995328	99532.8	1	5
0.249533	Node10011_	0	9	FullDelay	0.0995328	99532.8	1	5
0.251766	Node10001	0	1	LastDelay	0.0417664	41766.4	1	2
0.251766	Node10001	0	1	FullDelay	0.0417664	41766.4	1	2
0.26265	Node10000	0	3	LastDelay	0.0626496	62649.6	1	3
0.26265	Node10000	0	3	FullDelay	0.0626496	62649.6	1	3
0.26265	Node10001_	0	3	LastDelay	0.0426496	42649.6	1	3
0.26265	Node10001_	0	3	FullDelay	0.0426496	42649.6	1	3
0.263091	Node20100	0	2	LastDelay	0.0830912	83091.2	1	4
0.263091	Node20100	0	2	FullDelay	0.0830912	83091.2	1	4
0.263091	Node20110	0	2	LastDelay	0.0530912	53091.2	1	4
0.263091	Node20110	0	2	FullDelay	0.0530912	53091.2	1	4
0.269533	Node20000	0	10	LastDelay	0.0495328	49532.8	1	5
0.269533	Node20000	0	10	FullDelay	0.0495328	49532.8	1	5
0.269533	Node20011_	0	10	LastDelay	0.0995328	99532.8	1	5
0.269533	Node20011_	0	10	FullDelay	0.0995328	99532.8	1	5
0.273091	Node10110	0	5	LastDelay	0.0830912	83091.2	1	4
0.273091	Node10110	0	5	FullDelay	0.0830912	83091.2	1	4
0.289533	Node20101	0	4	LastDelay	0.0995328	99532.8	1	5
0.289533	Node20101	0	4	FullDelay	0.0995328	99532.8	1	5
0.29265	Node10010	0	2	LastDelay	0.0626496	62649.6	1	3
0.29265	Node10010	0	2	FullDelay	0.0626496	62649.6	1	3
0.29265	Node10011_	0	2	LastDelay	0.0426496	42649.6	1	3
0.29265	Node10011_	0	2	FullDelay	0.0426496	42649.6	1	3
0.29265	Node20001	0	2	LastDelay	0.0626496	62649.6	1	3
0.29265	Node20001	0	2	FullDelay	0.0626496	62649.6	1	3
0.29265	Node20010	0	2	LastDelay	0.0426496	42649.6	1	3
0.29265	Node20010	0	2	FullDelay	0.0426496	42649.6	1	3
0.29265	Node20011_	0	2	LastDelay	0.0226496	22649.6	1	3
0.29265	Node20011_	0	2	FullDelay	0.0226496	22649.6	1	3
0.293091	Node10111_	0	9	LastDelay	0.0830912	83091.2	1	4
0.293091	Node10111_	0	9	FullDelay	0.0830912	83091.2	1	4
0.299533	Node20101_	0	9	LastDelay	0.0995328	99532.8	1	5
0.299533	Node20101_	0	9	FullDelay	0.0995328	99532.8	1	5
0.301766	Node10100	0	1	LastDelay	0.0417664	41766.4	1	2
0.301766	Node10100	0	1	FullDelay	0.0417664	41766.4	1	2
0.313091	Node20111_	0	1	LastDelay	0.0830912	83091.2	1	4
0.313091	Node20111_	0	1	FullDelay	0.0830912	83091.2	1	4
0.313506	Node20001_	0	1	LastDelay	0.0735056	73505.6	1	4
0.313506	Node20001_	0	1	FullDelay	0.0735056	73505.6	1	4
0.319546	Node20111	0	6	LastDelay	0.0995464	99546.4	1	5
0.319546	Node20111	0	6	FullDelay	0.0995464	99546.4	1	5
0.323091	Node10011	0	8	LastDelay	0.0830912	83091.2	1	4
0.323091	Node10011	0	8	FullDelay	0.0830912	83091.2	1	4
0.33265	Node10101	0	5	LastDelay	0.0626496	62649.6	1	3
0.33265	Node10101	0	5	FullDelay	0.0626496	62649.6	1	3
0.339533	Node30000	0	1	LastDelay	0.0995328	99532.8	1	5
0.339533	Node30000	0	1	FullDelay	0.0995328	99532.8	1	5
0.339533	Node30011_	0	1	LastDelay	0.0495328	49532.8	1	5
0.339533	Node30011_	0	1	FullDelay	0.0495328	49532.8	1	5
0.341766	Node10000	0	2	LastDelay	0.0417664	41766.4	1	2
0.341766	Node10000	0	2	FullDelay	0.0417664	41766.4	1	2
0.341766	Node10111	0	1	LastDelay	0.0417664	41766.4	1	2
0.341766	Node10111	0	1	FullDelay	0.0417664	41766.4	1	2
0.341766	Node10111_	0	1	LastDelay	0.0317664	31766.4	1	2
0.341766	Node10111_	0	1	FullDelay	0.0317664	31766.4	1	2
0.34265	Node10101_	0	2	LastDelay	0.0626496	62649.6	1	3
0.34265	Node10101_	0	2	FullDelay	0.0626496	62649.6	1	3
0.349533	Node30001	0	10	LastDelay	0.0995328	99532.8	1	5
0.349533	Node30001	0	10	FullDelay	0.0995328	99532.8	1	5
0.351766	Node10001	0	3	LastDelay	0.0417664	41766.4	1	2
0.351766	Node10001	0	3	FullDelay	0.0417664	41766.4	1	2
0.351766	Node10001_	0	3	LastDelay	0.0317664	31766.4	1	2
0.351766	Node10001_	0	3	FullDelay	0.0317664	31766.4	1	2
0.359533	Node20011	0	7	LastDelay	0.0995328	99532.8	1	5
0.359533	Node20011	0	7	FullDelay	0.0995328	99532.8	1	5
0.359533	Node30001_	0	4	LastDelay	0.0995328	99532.8	1	5
0.359533	Node30001_	0	4	FullDelay	0.0995328	99532.8	1	5
0.363091	Node20100	0	6	LastDelay	0.0830912	83091.2	1	4
0.363091	Node20100	0	6	FullDelay	0.0830912	83091.2	1	4
0.369533	Node30010	0	9	LastDelay	0.0995328	99532.8	1	5
0.369533	Node30010	0	9	FullDelay	0.0995328	99532.8	1	5
0.371766	Node20001	0	2	LastDelay	0.0417664	41766.4	1	2
0.371766	Node20001	0	2	FullDelay	0.0417664	41766.4	1	2
0.371766	Node20001_	0	2	LastDelay	0.0317664	31766.4	1	2
0.371766	Node20001_	0	2	FullDelay	0.0317664	31766.4	1	2
0.37265	Node20110	0	2	LastDelay	0.0626496	62649.6	1	3
0.37265	Node20110	0	2	FullDelay	0.0626496	62649.6	1	3
0.373091	Node10110	0	6	LastDelay	0.0830912	83091.2	1	4
0.373091	Node10110	0	6	FullDelay	0.0830912	83091.2	1	4
0.373506	Node20101	0	4	LastDelay	0.0835056	83505.6	1	4
0.373506	Node20101	0	4	FullDelay	0.0835056	83505.6	1	4
0.379533	Node30011	0	5	LastDelay	0.0995328	99532.8	1	5
0.379533	Node30011	0	5	FullDelay	0.0995328	99532.8	1	5
0.38265	Node20000	0	4	LastDelay	0.0626496	62649.6	1	3
0.38265	Node20000	0	4	FullDelay	0.0626496	62649.6	1	3
