Waf: Entering directory `/home/harry/My_data/Study/7th_sem/BTP/ndnSIM/ns-3/build'
[2729/3110] Compiling src/ndnSIM/examples/ndn-topo-custom.cpp
[2732/3110] Compiling src/ndnSIM/examples/ndn-tree-cs-tracers.cpp
[3068/3110] Linking build/src/ndnSIM/examples/ns3-dev-ndn-topo-custom-debug
[3069/3110] Linking build/src/ndnSIM/examples/ns3-dev-ndn-tree-cs-tracers-debug
Waf: Leaving directory `/home/harry/My_data/Study/7th_sem/BTP/ndnSIM/ns-3/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (8.139s)
Node1 13 20
Node10 30 33
Node100 23 43
Node101 25 30
Node1000 1171 38
Node1001 1167 41
Node1010 1177 30
Node1011 1168 36
Node10000 0 408
Node10001 0 408
Node10001_ 0 408
Node10010 0 408
Node10011 0 408
Node10011_ 0 407
Node10100 0 407
Node10101 0 407
Node10101_ 0 407
Node10110 0 407
Node10111 0 406
Node10111_ 0 406
Node3 15 21
Node30 32 37
Node300 25 41
Node301 25 38
Node3000 1153 42
Node3001 1159 35
Node3010 1152 40
Node3011 1154 36
Node30000 0 404
Node30001 0 403
Node30001_ 0 403
Node30010 0 403
Node30011 0 403
Node30011_ 0 403
Node30100 0 403
Node30101 0 402
Node30101_ 0 402
Node30110 0 402
Node30111 0 402
Node30111_ 0 401
Node2 14 21
Node20 25 35
Node200 21 41
Node201 22 32
Node2000 1166 37
Node2001 1165 36
Node2010 1166 33
Node2011 1166 32
Node20000 0 406
Node20001 0 406
Node20001_ 0 406
Node20010 0 406
Node20011 0 405
Node20011_ 0 405
Node20100 0 405
Node20101 0 405
Node20101_ 0 404
Node20110 0 404
Node20111 0 404
Node20111_ 0 404
Node4 14 22
Node40 26 37
Node400 23 41
Node401 22 34
Node4000 1150 39
Node4001 1150 36
Node4010 1148 37
Node4011 1152 31
Node40000 0 401
Node40001 0 401
Node40001_ 0 401
Node40010 0 401
Node40011 0 400
Node40011_ 0 400
Node40100 0 400
Node40101 0 400
Node40101_ 0 400
Node40110 0 399
Node40111 0 399
Node40111_ 0 399
Producer1 0 55
