Waf: Entering directory `/home/harry/My_data/Study/7th_sem/BTP/ndnSIM/ns-3/build'
[2730/3110] Compiling src/ndnSIM/examples/ndn-topo-custom.cpp
[3069/3110] Linking build/src/ndnSIM/examples/ns3-dev-ndn-topo-custom-debug
Waf: Leaving directory `/home/harry/My_data/Study/7th_sem/BTP/ndnSIM/ns-3/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (7.362s)
Node1 75 803
Node10 400 878
Node100 244 655
Node101 250 632
Node1000 739 470
Node1001 767 441
Node1010 761 446
Node1011 757 447
Node10000 0 408
Node10001 0 408
Node10001_ 0 408
Node10010 0 408
Node10011 0 408
Node10011_ 0 407
Node10100 0 407
Node10101 0 407
Node10101_ 0 407
Node10110 0 407
Node10111 0 406
Node10111_ 0 406
Node3 67 760
Node30 381 832
Node300 273 604
Node301 247 621
Node3000 764 431
Node3001 735 459
Node3010 755 437
Node3011 748 442
Node30000 0 404
Node30001 0 403
Node30001_ 0 403
Node30010 0 403
Node30011 0 403
Node30011_ 0 403
Node30100 0 403
Node30101 0 402
Node30101_ 0 402
Node30110 0 402
Node30111 0 402
Node30111_ 0 401
Node2 59 789
Node20 323 848
Node200 264 567
Node201 228 613
Node2000 788 415
Node2001 774 427
Node2010 794 405
Node2011 751 447
Node20000 0 406
Node20001 0 406
Node20001_ 0 406
Node20010 0 406
Node20011 0 405
Node20011_ 0 405
Node20100 0 405
Node20101 0 405
Node20101_ 0 404
Node20110 0 404
Node20111 0 404
Node20111_ 0 404
Node4 64 800
Node40 338 865
Node400 245 616
Node401 246 597
Node4000 732 457
Node4001 770 416
Node4010 755 430
Node4011 758 425
Node40000 0 401
Node40001 0 401
Node40001_ 0 401
Node40010 0 401
Node40011 0 400
Node40011_ 0 400
Node40100 0 400
Node40101 0 400
Node40101_ 0 400
Node40110 0 399
Node40111 0 399
Node40111_ 0 399
Producer1 0 3120
