Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0157664	leaf-2	0	5	LastDelay	0.0057664	5766.4	1	2
0.0157664	leaf-2	0	5	FullDelay	0.0057664	5766.4	1	2
0.0257664	leaf-3	0	1	LastDelay	0.0057664	5766.4	1	2
0.0257664	leaf-3	0	1	FullDelay	0.0057664	5766.4	1	2
0.0357664	leaf-4	0	5	LastDelay	0.0057664	5766.4	1	2
0.0357664	leaf-4	0	5	FullDelay	0.0057664	5766.4	1	2
0.0557664	leaf-1	0	2	LastDelay	0.0057664	5766.4	1	2
0.0557664	leaf-1	0	2	FullDelay	0.0057664	5766.4	1	2
0.0657664	leaf-2	0	4	LastDelay	0.0057664	5766.4	1	2
0.0657664	leaf-2	0	4	FullDelay	0.0057664	5766.4	1	2
0.0757664	leaf-3	0	2	LastDelay	0.0057664	5766.4	1	2
0.0757664	leaf-3	0	2	FullDelay	0.0057664	5766.4	1	2
0.0828832	leaf-4	0	2	LastDelay	0.0028832	2883.2	1	1
0.0828832	leaf-4	0	2	FullDelay	0.0028832	2883.2	1	1
0.105766	leaf-1	0	1	LastDelay	0.0057664	5766.4	1	2
0.105766	leaf-1	0	1	FullDelay	0.0057664	5766.4	1	2
0.112883	leaf-2	0	4	LastDelay	0.0028832	2883.2	1	1
0.112883	leaf-2	0	4	FullDelay	0.0028832	2883.2	1	1
0.122883	leaf-3	0	1	LastDelay	0.0028832	2883.2	1	1
0.122883	leaf-3	0	1	FullDelay	0.0028832	2883.2	1	1
0.132883	leaf-4	0	2	LastDelay	0.0028832	2883.2	1	1
0.132883	leaf-4	0	2	FullDelay	0.0028832	2883.2	1	1
0.152883	leaf-1	0	1	LastDelay	0.0028832	2883.2	1	1
0.152883	leaf-1	0	1	FullDelay	0.0028832	2883.2	1	1
0.162883	leaf-2	0	5	LastDelay	0.0028832	2883.2	1	1
0.162883	leaf-2	0	5	FullDelay	0.0028832	2883.2	1	1
0.172883	leaf-3	0	2	LastDelay	0.0028832	2883.2	1	1
0.172883	leaf-3	0	2	FullDelay	0.0028832	2883.2	1	1
0.185766	leaf-4	0	3	LastDelay	0.0057664	5766.4	1	2
0.185766	leaf-4	0	3	FullDelay	0.0057664	5766.4	1	2
0.205766	leaf-1	0	10	LastDelay	0.0057664	5766.4	1	2
0.205766	leaf-1	0	10	FullDelay	0.205766	205766	2	2
0.212883	leaf-2	0	4	LastDelay	0.0028832	2883.2	1	1
0.212883	leaf-2	0	4	FullDelay	0.0028832	2883.2	1	1
0.222883	leaf-3	0	1	LastDelay	0.0028832	2883.2	1	1
0.222883	leaf-3	0	1	FullDelay	0.0028832	2883.2	1	1
0.235766	leaf-4	0	7	LastDelay	0.0057664	5766.4	1	2
0.235766	leaf-4	0	7	FullDelay	0.0057664	5766.4	1	2
0.255766	leaf-1	0	8	LastDelay	0.0057664	5766.4	1	2
0.255766	leaf-1	0	8	FullDelay	0.0057664	5766.4	1	2
0.265766	leaf-2	0	3	LastDelay	0.0057664	5766.4	1	2
0.265766	leaf-2	0	3	FullDelay	0.0057664	5766.4	1	2
0.272883	leaf-3	0	2	LastDelay	0.0028832	2883.2	1	1
0.272883	leaf-3	0	2	FullDelay	0.0028832	2883.2	1	1
0.282883	leaf-4	0	2	LastDelay	0.0028832	2883.2	1	1
0.282883	leaf-4	0	2	FullDelay	0.0028832	2883.2	1	1
0.302883	leaf-1	0	1	LastDelay	0.0028832	2883.2	1	1
0.302883	leaf-1	0	1	FullDelay	0.0028832	2883.2	1	1
0.315766	leaf-2	0	9	LastDelay	0.0057664	5766.4	1	2
0.315766	leaf-2	0	9	FullDelay	0.0057664	5766.4	1	2
0.322883	leaf-3	0	7	LastDelay	0.0028832	2883.2	1	1
0.322883	leaf-3	0	7	FullDelay	0.0028832	2883.2	1	1
0.335766	leaf-4	0	9	LastDelay	0.0057664	5766.4	1	2
0.335766	leaf-4	0	9	FullDelay	0.0057664	5766.4	1	2
0.352883	leaf-1	0	3	LastDelay	0.0028832	2883.2	1	1
0.352883	leaf-1	0	3	FullDelay	0.0028832	2883.2	1	1
0.362883	leaf-2	0	3	LastDelay	0.0028832	2883.2	1	1
0.362883	leaf-2	0	3	FullDelay	0.0028832	2883.2	1	1
0.375766	leaf-3	0	8	LastDelay	0.0057664	5766.4	1	2
0.375766	leaf-3	0	8	FullDelay	0.0057664	5766.4	1	2
0.382883	leaf-4	0	1	LastDelay	0.0028832	2883.2	1	1
0.382883	leaf-4	0	1	FullDelay	0.0028832	2883.2	1	1
0.402883	leaf-1	0	3	LastDelay	0.0028832	2883.2	1	1
0.402883	leaf-1	0	3	FullDelay	0.0028832	2883.2	1	1
0.412883	leaf-2	0	2	LastDelay	0.0028832	2883.2	1	1
0.412883	leaf-2	0	2	FullDelay	0.0028832	2883.2	1	1
0.425766	leaf-3	0	4	LastDelay	0.0057664	5766.4	1	2
0.425766	leaf-3	0	4	FullDelay	0.0057664	5766.4	1	2
0.432883	leaf-4	0	8	LastDelay	0.0028832	2883.2	1	1
0.432883	leaf-4	0	8	FullDelay	0.0028832	2883.2	1	1
0.452883	leaf-1	0	3	LastDelay	0.0028832	2883.2	1	1
0.452883	leaf-1	0	3	FullDelay	0.0028832	2883.2	1	1
0.462883	leaf-2	0	1	LastDelay	0.0028832	2883.2	1	1
0.462883	leaf-2	0	1	FullDelay	0.0028832	2883.2	1	1
0.472883	leaf-3	0	5	LastDelay	0.0028832	2883.2	1	1
0.472883	leaf-3	0	5	FullDelay	0.0028832	2883.2	1	1
0.482883	leaf-4	0	5	LastDelay	0.0028832	2883.2	1	1
0.482883	leaf-4	0	5	FullDelay	0.0028832	2883.2	1	1
0.502883	leaf-1	0	3	LastDelay	0.0028832	2883.2	1	1
0.502883	leaf-1	0	3	FullDelay	0.0028832	2883.2	1	1
0.512883	leaf-2	0	2	LastDelay	0.0028832	2883.2	1	1
0.512883	leaf-2	0	2	FullDelay	0.0028832	2883.2	1	1
0.522883	leaf-3	0	7	LastDelay	0.0028832	2883.2	1	1
0.522883	leaf-3	0	7	FullDelay	0.0028832	2883.2	1	1
0.532883	leaf-4	0	2	LastDelay	0.0028832	2883.2	1	1
0.532883	leaf-4	0	2	FullDelay	0.0028832	2883.2	1	1
0.552883	leaf-1	0	3	LastDelay	0.0028832	2883.2	1	1
0.552883	leaf-1	0	3	FullDelay	0.0028832	2883.2	1	1
0.562883	leaf-2	0	2	LastDelay	0.0028832	2883.2	1	1
0.562883	leaf-2	0	2	FullDelay	0.0028832	2883.2	1	1
0.572883	leaf-3	0	2	LastDelay	0.0028832	2883.2	1	1
0.572883	leaf-3	0	2	FullDelay	0.0028832	2883.2	1	1
0.582883	leaf-4	0	7	LastDelay	0.0028832	2883.2	1	1
0.582883	leaf-4	0	7	FullDelay	0.0028832	2883.2	1	1
0.602883	leaf-1	0	3	LastDelay	0.0028832	2883.2	1	1
0.602883	leaf-1	0	3	FullDelay	0.0028832	2883.2	1	1
0.612883	leaf-2	0	10	LastDelay	0.0028832	2883.2	1	1
0.612883	leaf-2	0	10	FullDelay	0.0028832	2883.2	1	1
0.622883	leaf-3	0	1	LastDelay	0.0028832	2883.2	1	1
0.622883	leaf-3	0	1	FullDelay	0.0028832	2883.2	1	1
0.632883	leaf-4	0	1	LastDelay	0.0028832	2883.2	1	1
0.632883	leaf-4	0	1	FullDelay	0.0028832	2883.2	1	1
0.652883	leaf-1	0	10	LastDelay	0.0028832	2883.2	1	1
0.652883	leaf-1	0	10	FullDelay	0.0028832	2883.2	1	1
0.662883	leaf-2	0	8	LastDelay	0.0028832	2883.2	1	1
0.662883	leaf-2	0	8	FullDelay	0.0028832	2883.2	1	1
0.672883	leaf-3	0	1	LastDelay	0.0028832	2883.2	1	1
0.672883	leaf-3	0	1	FullDelay	0.0028832	2883.2	1	1
0.685766	leaf-4	0	6	LastDelay	0.0057664	5766.4	1	2
0.685766	leaf-4	0	6	FullDelay	0.0057664	5766.4	1	2
0.702883	leaf-1	0	2	LastDelay	0.0028832	2883.2	1	1
0.702883	leaf-1	0	2	FullDelay	0.0028832	2883.2	1	1
0.712883	leaf-2	0	1	LastDelay	0.0028832	2883.2	1	1
0.712883	leaf-2	0	1	FullDelay	0.0028832	2883.2	1	1
0.722883	leaf-3	0	2	LastDelay	0.0028832	2883.2	1	1
0.722883	leaf-3	0	2	FullDelay	0.0028832	2883.2	1	1
0.732883	leaf-4	0	1	LastDelay	0.0028832	2883.2	1	1
0.732883	leaf-4	0	1	FullDelay	0.0028832	2883.2	1	1
0.752883	leaf-1	0	9	LastDelay	0.0028832	2883.2	1	1
0.752883	leaf-1	0	9	FullDelay	0.0028832	2883.2	1	1
0.762883	leaf-2	0	1	LastDelay	0.0028832	2883.2	1	1
0.762883	leaf-2	0	1	FullDelay	0.0028832	2883.2	1	1
0.772883	leaf-3	0	9	LastDelay	0.0028832	2883.2	1	1
0.772883	leaf-3	0	9	FullDelay	0.0028832	2883.2	1	1
0.782883	leaf-4	0	3	LastDelay	0.0028832	2883.2	1	1
0.782883	leaf-4	0	3	FullDelay	0.0028832	2883.2	1	1
0.802883	leaf-1	0	5	LastDelay	0.0028832	2883.2	1	1
0.802883	leaf-1	0	5	FullDelay	0.0028832	2883.2	1	1
0.812883	leaf-2	0	5	LastDelay	0.0028832	2883.2	1	1
0.812883	leaf-2	0	5	FullDelay	0.0028832	2883.2	1	1
0.822883	leaf-3	0	1	LastDelay	0.0028832	2883.2	1	1
0.822883	leaf-3	0	1	FullDelay	0.0028832	2883.2	1	1
0.835766	leaf-4	0	10	LastDelay	0.0057664	5766.4	1	2
0.835766	leaf-4	0	10	FullDelay	0.0057664	5766.4	1	2
0.855766	leaf-1	0	6	LastDelay	0.0057664	5766.4	1	2
0.855766	leaf-1	0	6	FullDelay	0.0057664	5766.4	1	2
0.862883	leaf-2	0	1	LastDelay	0.0028832	2883.2	1	1
0.862883	leaf-2	0	1	FullDelay	0.0028832	2883.2	1	1
0.872883	leaf-3	0	10	LastDelay	0.0028832	2883.2	1	1
0.872883	leaf-3	0	10	FullDelay	0.0028832	2883.2	1	1
0.882883	leaf-4	0	9	LastDelay	0.0028832	2883.2	1	1
0.882883	leaf-4	0	9	FullDelay	0.0028832	2883.2	1	1
0.902883	leaf-1	0	1	LastDelay	0.0028832	2883.2	1	1
0.902883	leaf-1	0	1	FullDelay	0.0028832	2883.2	1	1
0.912883	leaf-2	0	5	LastDelay	0.0028832	2883.2	1	1
0.912883	leaf-2	0	5	FullDelay	0.0028832	2883.2	1	1
0.922883	leaf-3	0	6	LastDelay	0.0028832	2883.2	1	1
0.922883	leaf-3	0	6	FullDelay	0.0028832	2883.2	1	1
0.932883	leaf-4	0	6	LastDelay	0.0028832	2883.2	1	1
0.932883	leaf-4	0	6	FullDelay	0.0028832	2883.2	1	1
0.955766	leaf-1	0	7	LastDelay	0.0057664	5766.4	1	2
0.955766	leaf-1	0	7	FullDelay	0.0057664	5766.4	1	2
0.962883	leaf-2	0	1	LastDelay	0.0028832	2883.2	1	1
0.962883	leaf-2	0	1	FullDelay	0.0028832	2883.2	1	1
0.972883	leaf-3	0	1	LastDelay	0.0028832	2883.2	1	1
0.972883	leaf-3	0	1	FullDelay	0.0028832	2883.2	1	1
0.982883	leaf-4	0	8	LastDelay	0.0028832	2883.2	1	1
0.982883	leaf-4	0	8	FullDelay	0.0028832	2883.2	1	1
1.00288	leaf-1	0	7	LastDelay	0.0028832	2883.2	1	1
1.00288	leaf-1	0	7	FullDelay	0.0028832	2883.2	1	1
1.01288	leaf-2	0	1	LastDelay	0.0028832	2883.2	1	1
1.01288	leaf-2	0	1	FullDelay	0.0028832	2883.2	1	1
1.02288	leaf-3	0	3	LastDelay	0.0028832	2883.2	1	1
1.02288	leaf-3	0	3	FullDelay	0.0028832	2883.2	1	1
1.03288	leaf-4	0	2	LastDelay	0.0028832	2883.2	1	1
1.03288	leaf-4	0	2	FullDelay	0.0028832	2883.2	1	1
1.05288	leaf-1	0	4	LastDelay	0.0028832	2883.2	1	1
1.05288	leaf-1	0	4	FullDelay	0.0028832	2883.2	1	1
1.06288	leaf-2	0	3	LastDelay	0.0028832	2883.2	1	1
1.06288	leaf-2	0	3	FullDelay	0.0028832	2883.2	1	1
1.07288	leaf-3	0	5	LastDelay	0.0028832	2883.2	1	1
1.07288	leaf-3	0	5	FullDelay	0.0028832	2883.2	1	1
1.08288	leaf-4	0	2	LastDelay	0.0028832	2883.2	1	1
1.08288	leaf-4	0	2	FullDelay	0.0028832	2883.2	1	1
1.10288	leaf-1	0	9	LastDelay	0.0028832	2883.2	1	1
1.10288	leaf-1	0	9	FullDelay	0.0028832	2883.2	1	1
1.11288	leaf-2	0	8	LastDelay	0.0028832	2883.2	1	1
1.11288	leaf-2	0	8	FullDelay	0.0028832	2883.2	1	1
1.12288	leaf-3	0	1	LastDelay	0.0028832	2883.2	1	1
1.12288	leaf-3	0	1	FullDelay	0.0028832	2883.2	1	1
1.13288	leaf-4	0	5	LastDelay	0.0028832	2883.2	1	1
1.13288	leaf-4	0	5	FullDelay	0.0028832	2883.2	1	1
1.15288	leaf-1	0	8	LastDelay	0.0028832	2883.2	1	1
1.15288	leaf-1	0	8	FullDelay	0.0028832	2883.2	1	1
1.16288	leaf-2	0	6	LastDelay	0.0028832	2883.2	1	1
1.16288	leaf-2	0	6	FullDelay	0.0028832	2883.2	1	1
1.17288	leaf-3	0	1	LastDelay	0.0028832	2883.2	1	1
1.17288	leaf-3	0	1	FullDelay	0.0028832	2883.2	1	1
1.18288	leaf-4	0	7	LastDelay	0.0028832	2883.2	1	1
1.18288	leaf-4	0	7	FullDelay	0.0028832	2883.2	1	1
1.20288	leaf-1	0	2	LastDelay	0.0028832	2883.2	1	1
1.20288	leaf-1	0	2	FullDelay	0.0028832	2883.2	1	1
1.21288	leaf-2	0	10	LastDelay	0.0028832	2883.2	1	1
1.21288	leaf-2	0	10	FullDelay	0.0028832	2883.2	1	1
1.22288	leaf-3	0	5	LastDelay	0.0028832	2883.2	1	1
1.22288	leaf-3	0	5	FullDelay	0.0028832	2883.2	1	1
1.23288	leaf-4	0	3	LastDelay	0.0028832	2883.2	1	1
1.23288	leaf-4	0	3	FullDelay	0.0028832	2883.2	1	1
1.25288	leaf-1	0	8	LastDelay	0.0028832	2883.2	1	1
1.25288	leaf-1	0	8	FullDelay	0.0028832	2883.2	1	1
1.26288	leaf-2	0	4	LastDelay	0.0028832	2883.2	1	1
1.26288	leaf-2	0	4	FullDelay	0.0028832	2883.2	1	1
1.27288	leaf-3	0	5	LastDelay	0.0028832	2883.2	1	1
1.27288	leaf-3	0	5	FullDelay	0.0028832	2883.2	1	1
1.28288	leaf-4	0	7	LastDelay	0.0028832	2883.2	1	1
1.28288	leaf-4	0	7	FullDelay	0.0028832	2883.2	1	1
1.30288	leaf-1	0	8	LastDelay	0.0028832	2883.2	1	1
1.30288	leaf-1	0	8	FullDelay	0.0028832	2883.2	1	1
1.31288	leaf-2	0	1	LastDelay	0.0028832	2883.2	1	1
1.31288	leaf-2	0	1	FullDelay	0.0028832	2883.2	1	1
1.32288	leaf-3	0	5	LastDelay	0.0028832	2883.2	1	1
1.32288	leaf-3	0	5	FullDelay	0.0028832	2883.2	1	1
1.33288	leaf-4	0	1	LastDelay	0.0028832	2883.2	1	1
1.33288	leaf-4	0	1	FullDelay	0.0028832	2883.2	1	1
1.35288	leaf-1	0	1	LastDelay	0.0028832	2883.2	1	1
1.35288	leaf-1	0	1	FullDelay	0.0028832	2883.2	1	1
1.36288	leaf-2	0	2	LastDelay	0.0028832	2883.2	1	1
1.36288	leaf-2	0	2	FullDelay	0.0028832	2883.2	1	1
1.37288	leaf-3	0	2	LastDelay	0.0028832	2883.2	1	1
1.37288	leaf-3	0	2	FullDelay	0.0028832	2883.2	1	1
1.38288	leaf-4	0	1	LastDelay	0.0028832	2883.2	1	1
1.38288	leaf-4	0	1	FullDelay	0.0028832	2883.2	1	1
1.40288	leaf-1	0	1	LastDelay	0.0028832	2883.2	1	1
1.40288	leaf-1	0	1	FullDelay	0.0028832	2883.2	1	1
1.41288	leaf-2	0	9	LastDelay	0.0028832	2883.2	1	1
1.41288	leaf-2	0	9	FullDelay	0.0028832	2883.2	1	1
1.42288	leaf-3	0	1	LastDelay	0.0028832	2883.2	1	1
1.42288	leaf-3	0	1	FullDelay	0.0028832	2883.2	1	1
1.43288	leaf-4	0	7	LastDelay	0.0028832	2883.2	1	1
1.43288	leaf-4	0	7	FullDelay	0.0028832	2883.2	1	1
1.45288	leaf-1	0	1	LastDelay	0.0028832	2883.2	1	1
1.45288	leaf-1	0	1	FullDelay	0.0028832	2883.2	1	1
1.46288	leaf-2	0	5	LastDelay	0.0028832	2883.2	1	1
1.46288	leaf-2	0	5	FullDelay	0.0028832	2883.2	1	1
1.47288	leaf-3	0	1	LastDelay	0.0028832	2883.2	1	1
1.47288	leaf-3	0	1	FullDelay	0.0028832	2883.2	1	1
1.48288	leaf-4	0	2	LastDelay	0.0028832	2883.2	1	1
1.48288	leaf-4	0	2	FullDelay	0.0028832	2883.2	1	1
1.50288	leaf-1	0	1	LastDelay	0.0028832	2883.2	1	1
1.50288	leaf-1	0	1	FullDelay	0.0028832	2883.2	1	1
1.51288	leaf-2	0	5	LastDelay	0.0028832	2883.2	1	1
1.51288	leaf-2	0	5	FullDelay	0.0028832	2883.2	1	1
1.52288	leaf-3	0	7	LastDelay	0.0028832	2883.2	1	1
1.52288	leaf-3	0	7	FullDelay	0.0028832	2883.2	1	1
1.53288	leaf-4	0	2	LastDelay	0.0028832	2883.2	1	1
1.53288	leaf-4	0	2	FullDelay	0.0028832	2883.2	1	1
1.55288	leaf-1	0	1	LastDelay	0.0028832	2883.2	1	1
1.55288	leaf-1	0	1	FullDelay	0.0028832	2883.2	1	1
1.56288	leaf-2	0	3	LastDelay	0.0028832	2883.2	1	1
1.56288	leaf-2	0	3	FullDelay	0.0028832	2883.2	1	1
1.57288	leaf-3	0	8	LastDelay	0.0028832	2883.2	1	1
1.57288	leaf-3	0	8	FullDelay	0.0028832	2883.2	1	1
1.58288	leaf-4	0	4	LastDelay	0.0028832	2883.2	1	1
1.58288	leaf-4	0	4	FullDelay	0.0028832	2883.2	1	1
1.60288	leaf-1	0	1	LastDelay	0.0028832	2883.2	1	1
1.60288	leaf-1	0	1	FullDelay	0.0028832	2883.2	1	1
1.61288	leaf-2	0	7	LastDelay	0.0028832	2883.2	1	1
1.61288	leaf-2	0	7	FullDelay	0.0028832	2883.2	1	1
1.62288	leaf-3	0	8	LastDelay	0.0028832	2883.2	1	1
1.62288	leaf-3	0	8	FullDelay	0.0028832	2883.2	1	1
1.63288	leaf-4	0	10	LastDelay	0.0028832	2883.2	1	1
1.63288	leaf-4	0	10	FullDelay	0.0028832	2883.2	1	1
1.65288	leaf-1	0	1	LastDelay	0.0028832	2883.2	1	1
1.65288	leaf-1	0	1	FullDelay	0.0028832	2883.2	1	1
1.66288	leaf-2	0	8	LastDelay	0.0028832	2883.2	1	1
1.66288	leaf-2	0	8	FullDelay	0.0028832	2883.2	1	1
1.67288	leaf-3	0	1	LastDelay	0.0028832	2883.2	1	1
1.67288	leaf-3	0	1	FullDelay	0.0028832	2883.2	1	1
1.68288	leaf-4	0	2	LastDelay	0.0028832	2883.2	1	1
1.68288	leaf-4	0	2	FullDelay	0.0028832	2883.2	1	1
1.70288	leaf-1	0	6	LastDelay	0.0028832	2883.2	1	1
1.70288	leaf-1	0	6	FullDelay	0.0028832	2883.2	1	1
1.71288	leaf-2	0	10	LastDelay	0.0028832	2883.2	1	1
1.71288	leaf-2	0	10	FullDelay	0.0028832	2883.2	1	1
1.72288	leaf-3	0	10	LastDelay	0.0028832	2883.2	1	1
1.72288	leaf-3	0	10	FullDelay	0.0028832	2883.2	1	1
1.73288	leaf-4	0	2	LastDelay	0.0028832	2883.2	1	1
1.73288	leaf-4	0	2	FullDelay	0.0028832	2883.2	1	1
1.75288	leaf-1	0	1	LastDelay	0.0028832	2883.2	1	1
1.75288	leaf-1	0	1	FullDelay	0.0028832	2883.2	1	1
1.76288	leaf-2	0	5	LastDelay	0.0028832	2883.2	1	1
1.76288	leaf-2	0	5	FullDelay	0.0028832	2883.2	1	1
1.77288	leaf-3	0	7	LastDelay	0.0028832	2883.2	1	1
1.77288	leaf-3	0	7	FullDelay	0.0028832	2883.2	1	1
1.78288	leaf-4	0	5	LastDelay	0.0028832	2883.2	1	1
1.78288	leaf-4	0	5	FullDelay	0.0028832	2883.2	1	1
1.80288	leaf-1	0	9	LastDelay	0.0028832	2883.2	1	1
1.80288	leaf-1	0	9	FullDelay	0.0028832	2883.2	1	1
1.81288	leaf-2	0	1	LastDelay	0.0028832	2883.2	1	1
1.81288	leaf-2	0	1	FullDelay	0.0028832	2883.2	1	1
1.82288	leaf-3	0	6	LastDelay	0.0028832	2883.2	1	1
1.82288	leaf-3	0	6	FullDelay	0.0028832	2883.2	1	1
1.83288	leaf-4	0	7	LastDelay	0.0028832	2883.2	1	1
1.83288	leaf-4	0	7	FullDelay	0.0028832	2883.2	1	1
1.85288	leaf-1	0	3	LastDelay	0.0028832	2883.2	1	1
1.85288	leaf-1	0	3	FullDelay	0.0028832	2883.2	1	1
1.86288	leaf-2	0	1	LastDelay	0.0028832	2883.2	1	1
1.86288	leaf-2	0	1	FullDelay	0.0028832	2883.2	1	1
1.87288	leaf-3	0	5	LastDelay	0.0028832	2883.2	1	1
1.87288	leaf-3	0	5	FullDelay	0.0028832	2883.2	1	1
1.88288	leaf-4	0	6	LastDelay	0.0028832	2883.2	1	1
1.88288	leaf-4	0	6	FullDelay	0.0028832	2883.2	1	1
1.90288	leaf-1	0	1	LastDelay	0.0028832	2883.2	1	1
1.90288	leaf-1	0	1	FullDelay	0.0028832	2883.2	1	1
1.91288	leaf-2	0	1	LastDelay	0.0028832	2883.2	1	1
1.91288	leaf-2	0	1	FullDelay	0.0028832	2883.2	1	1
1.92288	leaf-3	0	1	LastDelay	0.0028832	2883.2	1	1
1.92288	leaf-3	0	1	FullDelay	0.0028832	2883.2	1	1
1.93288	leaf-4	0	1	LastDelay	0.0028832	2883.2	1	1
1.93288	leaf-4	0	1	FullDelay	0.0028832	2883.2	1	1
1.95288	leaf-1	0	1	LastDelay	0.0028832	2883.2	1	1
